Company_name,Rating,NumberOfUserReview,Type,Location,Region
SDY & Co Chartered Accountants,5,-29,Certified public accountant,"1st Floor, Sai Complex, Kharagpur City Rd",Kharagpur
Kharagpur,,,West Bengal,,Kharagpur
SMFG India Credit Co. Ltd.,3,-2,Financial institution,"M S Tower 1 Second Floor, Kharagpur City Rd",Kharagpur
Instahut,4.1,-252,Restaurant,"NORTH, near Bangabani Club",Kharagpur
Science & Technology Entrepreneurs' Park,4.6,-17,Research and product development,"Vill:- Gopali P.O:- Salua P.S:- Kharagpur(L) G.P:- Gopali 5 No, Kharagpur",Kharagpur
SkinCurate Research Private Limited,,,Research institute,"298, 250, Malancha Main Rd",Kharagpur
ECELL,,,Non-profit organization,,Kharagpur
Eazy Startups,5,16,Chartered accountant,Howrah,Howrah
Startup Biz Solution,,,Software company,Howrah,Howrah
Mogoj Software Private Limited,,,Software company,Howrah,Howrah
MiliSync,5,1,Software company,Howrah,Howrah
Promotion Monster,5,15,Website designer,Howrah,Howrah
Intelliar Tech Labs Private Limited,4.1,8,Software company,Howrah,Howrah
Boldink Technologies Private Limited,,,Software company,Howrah,Howrah
Leopardmob,4.3,3,Software company,Howrah,Howrah
"INQXN School | Startup Service Portal | Startup Registration Service Kolkata , West Bengal",,,Business school,Howrah,Howrah
FoodApp.in,5,2,Software company,Howrah,Howrah
Adrobit Technologies,4.9,7,Software company,Howrah,Howrah
Digibrens Web Tech,,,Website designer,Howrah,Howrah
AGM Technology,4.7,20,Website designer,Howrah,Howrah
Nasscom Initiative,4.4,298,Coworking space,Howrah,Howrah
Catch the StartupBus,,,Software company,Howrah,Howrah
Finn Act,,,Software company,Howrah,Howrah
Apnim,5,6,Business development service,Howrah,Howrah
Artificer India,5,5,Graphic designer,Howrah,Howrah
Startup Entrepreneurs,,,Coworking space,Hoogly,Hoogly
Divitech Technologies Private Limited,,,Software company,Hoogly,Hoogly
Softsignindia,5,-1,Software company,Hoogly,Hoogly
Catch the StartupBus,,,Software company,Hoogly,Hoogly
Jitesh Patel,5,-2,Software company,Hoogly,Hoogly
SoftWeb Development Technologies,5,-61,Software company,Hoogly,Hoogly
3SA WEBX PRIVATE LIMITED,5,-5,Software company,Hoogly,Hoogly
Wikiance,5,-11,Software company,Hoogly,Hoogly
KRP Solutions (KRP IT SOLUTIONS PRIVATE LIMITED),5,-10,Software company,Hoogly,Hoogly
Haldia Tech Solutions,5,-3,Website designer,Haldia,Haldia
Software Technology Parks of India,2.9,-11,Government office,Haldia,Haldia
Webel IT Park,4.3,-103,Office equipment rental service,Haldia,Haldia
Sagnik Fuel Chain Pvt.Ltd.,5,-24,Diesel fuel supplier,Haldia,Haldia
Global Institute of Science & Technology,4.3,-344,Institute of technology,Haldia,Haldia
Power Plant (Haldia Petrochemicals Ltd.),4,-4,Power station,Haldia,Haldia
Mahindra Finance in Durgachak,,,Financial institution,Haldia,Haldia
DAV Public School - Pre-Primary Unit,4.4,-10,CBSE School,Haldia,Haldia
Haldia,,,West Bengal,Haldia,Haldia
