company_name,company_type,Location,review,no_user_review
Kiswok Industires Private Limited,Foundry,"Jalan Industrial Complex, Gate No.1, Bipranna Para, Via Begri, Domjur",3.9,-161.0
CHANDRA UDYOG,Manufacturer,"F3G9+PJQ, Service Rd",3.7,-3.0
Nirmita Manufacturing Company,Manufacturer,"6/2, Nanda Mukherjee Ln",,
Advance Telemarketing PVT LTD,Telephone Marketing Agency,"135, 3, Girish Ghosh Rd",,
M.G INDUSTRIES,Manufacturer,"40/P, KALACHAND, RC Nandy Ln",,
I. N. C. Howrah,Manufacturer,"40, 41, Jaya Bibi Rd",5.0,-1.0
Maple International Pvt Ltd,,"413, Grand Trunk Rd",,
Jalan Industrial Complex,Manufacturer,H6XF+482,3.9,-38.0
Howrah Software Development,Software company,"Arupara Rd, near milan sangha club",,
Saraswati Industrial Complex,Manufacturer,,4.1,-133.0
International Industrial Gases Ltd,Manufacturer,"146, Andul Rd",4.8,-14.0
"Beltala, Chamrail",Corporate office,Unnamed RoadJ7QR+GXC,4.2,-32.0
HOWRAH FABRICATORS,Corporate office,,5.0,-4.0
MA-LAKSHMI TRADING CONCERN,Manufacturer,·,4.0,-4.0
A B Polypacks Private Limited,Packaging company,Lakhanpur Industrial Area Tentulkuli(N,3.7,-48.0
W.Hunger Hydraulics India Pvt. Ltd.,Hydraulic equipment supplier,"New Plot no.1, PO.",3.9,-14.0
ThatWare LLP,Marketing agency,"Ground floor, Srijoni Apartment, DC Neogi Road, North",4.6,-139.0
Katlia Industrial Complex,Business park,J785+G27,3.9,-222.0
PURPLENO INC - website designing company,Website designer,"57, Jelia Para Ln",4.5,-17.0
A.J. Cast Alloys Pvt.Ltd.,Corporate office,,3.2,-17.0
Howrah Industrial Estate I.W.Association,Corporate office,J854+MF5,4.6,-5.0
KESHARI INTERNATIONAL,Import export company,"22,SUKEAS LANE, 3RD FLOOR, OFFICE NO: 303",5.0,-2.0
Rahee Infratech Limited,Railroad company,H864+FG7,3.9,-175.0
Mnc Companies,,"2, Dr M.L.K. Sarani Rd",,
Baazar Style Retail Limited (Style Baazar),Corporate office,"Shed No. 8, 97, Andul Rd",4.2,-167.0
JID INDUSTRIES,Hydraulic Engineer,,,
Dhulagarh Industrial Park,Corporate office,H59J+6XH,4.2,-194.0
D.D.International,Clothing manufacturer,"1st Floor, 5/1, Gobinda Dhar Ln",5.0,-6.0
Fredora International Pvt Ltd.,Manufacturer,P 78 A,3.9,-7.0
Synotrix Global,Software company,"Merlin Matrix, Block DN-10, Salt Lake, Sector V",2.9,-10.0
Vesuvius India Limited,Manufacturer,"P-104, Taratala Rd",4.5,-30.0
Mnc Software Companies,Software company,"1, 8, Major Arterial Road (South East Extension)",,
in Howrah,Computer repair service,"4, Ghosh Para Ln",4.0,-1.0
Multinational Industries Limited,Corporate office,"24, Madhusudan Banerjee Rd",5.0,-2.0
I S ENGINEERING WORKS,Home automation company,"J82C+637, Natabar Paul Rd",5.0,-1.0
The Braithwaite Burn and Jessop Construction Company Limited,Corporate office,"27, RN Mukherjee Rd",4.4,-44.0
Advance Talent Services,Recruiter,"2nd Floor, 201, 24, Kaipukur Ln",3.4,-7.0
EVEREADY -KOLKATA PLANT,Battery Manufacturer,"P-4,Transport Depot Road, Taratala, Transport Depot Rd",3.9,-13.0
Tata International Limited,Manufacturer,"11A, 1d, E Topsia Rd",,
Jalan Group Of Industries,Chemical plant,"16, G, Everest House, 46, C, Jawaharlal Nehru Rd",4.2,-10.0
Usha Martin,Manufacturer,"2A, Shakespeare Sarani Rd",4.2,-111.0
Asiatic Industries Howrah,Machinery parts manufacturer,Near Kona More Benaras Road Eksara,,
Kadtech Industries,Manufacturer,"226/1, Barrackpore Trunk Rd",,
website development company in kolkata,Software company,4,,
CRYSTAL INTERNATIONAL COMPANY,Real Estate Builders & Construction Company,"ROOM NO. 203, ANNAPURNA BUILDING, Lord Sinha Road",5.0,-5.0
Alfred Herbert India Private Limited,Machine shop,"H8CX+J66, Strand Road, Esplanade, Esplanade",,
Adapt International Pvt. Ltd.,Corporate office,"71, Park Plaza, 6B, South Block",4.3,-3.0
K Plastics & Chemicals,Manufacturer,"TOWER HOUSE, 1ST FLOOR, 2A, Chowringhee Square",,
Fixfin Technologies Pvt. Ltd.,Software company,Webel IT Park,4.9,-32.0
Kamac,Real Estate Builders & Construction Company,"Ramkrishna Samity Building, Panitanki More, 40/107, Sevoke Rd",4.8,-16.0
Hindmake Industries and infrastructures Commodities India (P) Limited,Business networking company,Champasari Rd,1.0,-1.0
Groveus Informatics PVT. LTD.,Software company,"1st Floor, Dhup company more, Pradhan Nagar, near Arambagh Chicken",4.7,-63.0
Dreamegis Technologies Pvt. Ltd. (Siliguri Branch),Software company,"Ward 16, Hakimpara, Beside Madhav Bhavan, Near: Bhutia Market",5.0,-5.0
Sandeep G. Realestate Limited,Real estate developer,"Office Block, G-0214 City Centre Matigara",3.6,-52.0
MB Group of Companies,Tea Manufacturer,"5th Floor, Dwarika Towers, Burdwan Rd",,
ZVAL IT Solutions,Software company,"Infinity Square, 1st Floor, Sevoke Rd",5.0,-2.0
"PREAMCO INDAI MARKETING PRIVATE LIMITED, Siliguri",Corporate office,"Assarampara, Thakurnagar, Eastern Bypass, Dist",,
NSG SOFTWARES (Siliguri Branch),Accounting software company,Haren Mukherjee Rd,,
Carreograph,Training centre,"Don Bosco, PBR Tower, 3rd Floor,Sevoke Rd, More",4.8,-169.0
East India Pharmaceutical Siliguri Branch,Corporate office,"PC37+WX2, Burdwan Rd",5.0,-1.0
The Edge Consultancy,Employment agency,·,3.8,-21.0
Career Growth Placement,Unemployment office,"Lama House, 02, Patel Road",4.8,-177.0
Gurung Manpower,Employment consultant,"Ward No. 3, Upper Rd",3.7,-3.0
L&T Finance,Financial institution,"Unity Building, 2nd Floor, Sevoke Rd",2.0,-16.0
KM Infosystems,Software company,"1C/5D, Webel IT Park, Paribahan Nagar, Siliguri",4.1,-10.0
Avior Technologies Pvt Ltd Siliguri Branch,Corporate office,,,
PageLinko Technologies Private Limited | Web & Software Development Company in Asansol,Software company,"Module No. 18, 1st Floor, WEBEL IT Park, Kalyanpur Housing",2.3,-16
Terminaux Techsolution,Software company,Webel It park,1.8,-5
ArkiTech Asansol,Software company,"MWVX+7WH, Near Inn Asansol, Burnpur Rd",4.0,-1
"Steel Authority Of India Limited, IISCO Steel Plant",Iron & Steel Industry,"Burnpur Station Road, Burnpur, District - Barddhaman",4.2,-248
Dhanvarsha Residency Asansol-Best Real Estate Company In Asansol,Real Estate Builders & Construction Company,Majira,5.0,-14
Sheth Industries,Paving materials supplier,Bakbandi - Nischinta Road,5.0,-27
Webel IT Park Asansol Branch,Corporate campus,"Module 14, Webel IT Park Kalyanpur Satellite Township",3.8,-52
Future Builder Consultancy And Advisory,Consultant,"RK Roy Rd, opp. Panchabati Apartment",4.9,-75
